model_name,model_type,decode_type,device_type,length_bucket,batch_size,batch_index,n_utts,total_audio_duration_s,elapsed_s,latency_ms_per_utt,rtf,wer,cer,t_preproc_s_batch,t_encoder_s_batch,t_decoder_s_batch,wallclock_s_config,total_utts_config,total_audio_duration_config_s,energy_joules_total_config,energy_j_per_utt,energy_j_per_audio_sec,max_gpu_mem_bytes,gflops_per_example,total_t_preproc_s_config,total_t_encoder_s_config,total_t_decoder_s_config,t_preproc_ms_per_utt_config,t_encoder_ms_per_utt_config,t_decoder_ms_per_utt_config
openai/whisper-tiny,whisper,generate,cpu,5s,1,1,1,4.82,0.2762829999992391,276.2829999992391,0.05732012448116994,0.05555555555555555,0.010101010101010102,0.01017524999770103,0.09291262500119046,0.17168449999735458,0.5457792499983043,2,11.59,8.186688749974564,4.093344374987282,0.7063579594456052,0,76.48768512000001,0.017521916997793596,0.17691487500269432,0.3370205409992195,8.760958498896798,88.45743750134716,168.51027049960976
openai/whisper-tiny,whisper,generate,cpu,5s,1,2,1,6.77,0.2568504999981087,256.8504999981087,0.037939512555112076,0.28,0.2125984251968504,0.007346667000092566,0.08400225000150385,0.16533604100186494,0.5457792499983043,2,11.59,8.186688749974564,4.093344374987282,0.7063579594456052,0,76.48768512000001,0.017521916997793596,0.17691487500269432,0.3370205409992195,8.760958498896798,88.45743750134716,168.51027049960976
openai/whisper-tiny,whisper,generate,cpu,5s,4,1,4,19.28,0.7328986249995069,183.22465624987672,0.03801341415972546,0.22857142857142856,0.0927536231884058,0.012891166999907,0.3008532080020814,0.41826687499997206,1.4685241660008614,8,39.18,22.02786249001292,2.753482811251615,0.5622221156205442,0,76.48768512000001,0.025484876001428347,0.5982017500027723,0.8019147090017213,3.1856095001785434,74.77521875034654,100.23933862521517
openai/whisper-tiny,whisper,generate,cpu,5s,4,2,4,19.9,0.693903292001778,173.4758230004445,0.03486951216089337,0.2545454545454545,0.09003215434083602,0.012593709001521347,0.29734854200069094,0.3836478340017493,1.4685241660008614,8,39.18,22.02786249001292,2.753482811251615,0.5622221156205442,0,76.48768512000001,0.025484876001428347,0.5982017500027723,0.8019147090017213,3.1856095001785434,74.77521875034654,100.23933862521517
openai/whisper-tiny,whisper,generate,cpu,5s,8,1,8,39.18,1.0687417080007435,133.59271350009294,0.02727773629404654,0.24,0.09146341463414634,0.02175241700024344,0.5145386670010339,0.5313520420022542,2.1512247919999936,16,79.16,32.268371879999904,2.016773242499994,0.4076348140474975,0,76.48768512000001,0.04581608400258119,1.0047029589986778,1.0080428760047653,2.8635052501613245,62.79393493741736,63.00267975029783
openai/whisper-tiny,whisper,generate,cpu,5s,8,2,8,39.980000000000004,0.9913525420015503,123.91906775019379,0.02479621165586669,0.24107142857142858,0.08241758241758242,0.024063667002337752,0.4901642919976439,0.4766908340025111,2.1512247919999936,16,79.16,32.268371879999904,2.016773242499994,0.4076348140474975,0,76.48768512000001,0.04581608400258119,1.0047029589986778,1.0080428760047653,2.8635052501613245,62.79393493741736,63.00267975029783
openai/whisper-tiny,whisper,generate,cpu,5s,16,1,16,79.16,2.1235510830010753,132.7219426875672,0.02682606219051384,0.24050632911392406,0.08735440931780367,0.04951574999722652,1.2949709579988848,0.776502624998102,12.680500999998912,32,161.39,190.2075149999837,5.94398484374949,1.178558244005104,0,76.48768512000001,0.09020541699646856,2.536063625000679,9.850382791999436,2.8189192811396424,79.25198828127122,307.8244622499824
openai/whisper-tiny,whisper,generate,cpu,5s,16,2,16,82.23,10.356906125001842,647.3066328126151,0.12595045755809123,0.757201646090535,0.7378800328677074,0.040689666999242036,1.2410926670017943,9.073880167001334,12.680500999998912,32,161.39,190.2075149999837,5.94398484374949,1.178558244005104,0,76.48768512000001,0.09020541699646856,2.536063625000679,9.850382791999436,2.8189192811396424,79.25198828127122,307.8244622499824
openai/whisper-tiny,whisper,generate,cpu,5s,32,1,32,161.39,13.587484874999063,424.60890234372073,0.08419037657227253,0.5020833333333333,0.4146341463414634,0.08742645799793536,2.0892207079996297,11.407298665999406,17.224117916997784,64,342.05999999999995,258.36176875496676,4.036902636796356,0.7553112575424393,0,76.48768512000001,0.16867879199708113,4.158962748999329,12.575398416000098,2.6356061249543927,64.98379295311452,196.49060025000153
openai/whisper-tiny,whisper,generate,cpu,5s,32,2,32,180.67,3.320416499998828,103.76301562496337,0.018378350030435756,0.13688212927756654,0.053551912568306013,0.08125233399914578,2.0697420409996994,1.1680997500006924,17.224117916997784,64,342.05999999999995,258.36176875496676,4.036902636796356,0.7553112575424393,0,76.48768512000001,0.16867879199708113,4.158962748999329,12.575398416000098,2.6356061249543927,64.98379295311452,196.49060025000153
openai/whisper-tiny,whisper,generate,cpu,15s,1,1,1,11.42,0.24596358300186694,245.96358300186694,0.021537966987904285,0.14285714285714285,0.026845637583892617,0.006364790999214165,0.07938491700042505,0.16007650000028661,0.600487208001141,2,22.4799375,9.007308120017115,4.503654060008557,0.40068208018892915,0,183.15265536,0.013682999997399747,0.15507670900115045,0.4099806250014808,6.841499998699874,77.53835450057522,204.9903125007404
openai/whisper-tiny,whisper,generate,cpu,15s,1,2,1,11.0599375,0.3343649579983321,334.3649579983321,0.030232083861082587,0.0,0.0,0.0073182089981855825,0.0756917920007254,0.2499041250011942,0.600487208001141,2,22.4799375,9.007308120017115,4.503654060008557,0.40068208018892915,0,183.15265536,0.013682999997399747,0.15507670900115045,0.4099806250014808,6.841499998699874,77.53835450057522,204.9903125007404
